article,wikipedia-url,wikidata-id,OSM-tag
Brooklyn Bridge,http://en.wikipedia.org/wiki/Brooklyn_Bridge,125006,bridge
Kangchenjunga,http://en.wikipedia.org/wiki/Kangchenjunga,82019,peak
Neverland Ranch,http://en.wikipedia.org/wiki/Neverland_Ranch,953021,attraction
Hollywood,http://en.wikipedia.org/wiki/Hollywood,34006,neighbourhood
Stanford University,http://en.wikipedia.org/wiki/Stanford_University,41506,university
Indianapolis Motor Speedway,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,172732,track
"Worcester, Massachusetts",http://en.wikipedia.org/wiki/Worcester%2C_Massachusetts,49179,city
"West Palm Beach, Florida",http://en.wikipedia.org/wiki/West_Palm_Beach%2C_Florida,163749,city
Ooty,http://en.wikipedia.org/wiki/Ooty,9888,town
Plymouth,http://en.wikipedia.org/wiki/Plymouth,43382,city
"Beverly Hills, California",http://en.wikipedia.org/wiki/Beverly_Hills%2C_California,127856,city
Naval Base San Diego,http://en.wikipedia.org/wiki/Naval_Base_San_Diego,743898,naval_base
"Forest Lawn Memorial Park, Glendale",http://en.wikipedia.org/wiki/Forest_Lawn_Memorial_Park%2C_Glendale,1437214,cemetery
Appalachian Mountains,http://en.wikipedia.org/wiki/Appalachian_Mountains,93332,ridge
Bathhouse Row,http://en.wikipedia.org/wiki/Bathhouse_Row,4869025,attraction
"Greensboro, North Carolina",http://en.wikipedia.org/wiki/Greensboro%2C_North_Carolina,49238,city
Indiana,http://en.wikipedia.org/wiki/Indiana,1415,state
"Cupertino, California",http://en.wikipedia.org/wiki/Cupertino%2C_California,189471,city
Gangkhar Puensum,http://en.wikipedia.org/wiki/Gangkhar_Puensum,219986,peak
"Charleston, South Carolina",http://en.wikipedia.org/wiki/Charleston%2C_South_Carolina,47716,city
Lakshadweep,http://en.wikipedia.org/wiki/Lakshadweep,26927,state
Southern California,http://en.wikipedia.org/wiki/Southern_California,844837,region
Rikers Island,http://en.wikipedia.org/wiki/Rikers_Island,120119,prison
New York metropolitan area,http://en.wikipedia.org/wiki/New_York_metropolitan_area,683705,region
Sri Lanka,http://en.wikipedia.org/wiki/Sri_Lanka,854,country
Manhattan,http://en.wikipedia.org/wiki/Manhattan,11299,county
Johns Hopkins University,http://en.wikipedia.org/wiki/Johns_Hopkins_University,193727,university
Humayun's Tomb,http://en.wikipedia.org/wiki/Humayun%27s_Tomb,189648,monument
"Stockton, California",http://en.wikipedia.org/wiki/Stockton%2C_California,49240,city
Hoover Dam,http://en.wikipedia.org/wiki/Hoover_Dam,172822,dam
Chongqing,http://en.wikipedia.org/wiki/Chongqing,11725,city
Kodaikanal,http://en.wikipedia.org/wiki/Kodaikanal,253851,city
Wyoming,http://en.wikipedia.org/wiki/Wyoming,1214,state
MetLife Stadium,http://en.wikipedia.org/wiki/MetLife_Stadium,10862290,stadium
"University of Maryland, College Park",http://en.wikipedia.org/wiki/University_of_Maryland%2C_College_Park,503415,university
Goa,http://en.wikipedia.org/wiki/Goa,1171,state
Brown University,http://en.wikipedia.org/wiki/Brown_University,49114,university
Minnesota,http://en.wikipedia.org/wiki/Minnesota,1527,state
Florida State University,http://en.wikipedia.org/wiki/Florida_State_University,861548,university
Alton Towers Resort,http://en.wikipedia.org/wiki/Alton_Towers_Resort,443909,theme_park
Indian subcontinent,http://en.wikipedia.org/wiki/Indian_subcontinent,60140,region
Los Angeles International Airport,http://en.wikipedia.org/wiki/Los_Angeles_International_Airport,8731,aerodrome
Oregon,http://en.wikipedia.org/wiki/Oregon,824,state
"St. Petersburg, Florida",http://en.wikipedia.org/wiki/St._Petersburg%2C_Florida,49236,city
Oklahoma City,http://en.wikipedia.org/wiki/Oklahoma_City,34863,city
Inland Empire,http://en.wikipedia.org/wiki/Inland_Empire,1148552,region
"Buffalo, New York",http://en.wikipedia.org/wiki/Buffalo%2C_New_York,40435,city
Kochi,http://en.wikipedia.org/wiki/Kochi,1800,city
Missouri River,http://en.wikipedia.org/wiki/Missouri_River,5419,river
Channel Islands,http://en.wikipedia.org/wiki/Channel_Islands,42314,island
Gateway of India,http://en.wikipedia.org/wiki/Gateway_of_India,864862,monument
Tirumala Venkateswara Temple,http://en.wikipedia.org/wiki/Tirumala_Venkateswara_Temple,9375937,place_of_worship
Discovery Island (Bay Lake),http://en.wikipedia.org/wiki/Discovery_Island_%28Bay_Lake%29,2897849,island
Washington (state),http://en.wikipedia.org/wiki/Washington_%28state%29,1223,state
Syracuse University,http://en.wikipedia.org/wiki/Syracuse_University,617433,university
Mount Rushmore,http://en.wikipedia.org/wiki/Mount_Rushmore,83497,peak
"Hart Island, New York",http://en.wikipedia.org/wiki/Hart_Island%2C_New_York,2646503,island
"Riverside, California",http://en.wikipedia.org/wiki/Riverside%2C_California,49243,city
"Fort Wayne, Indiana",http://en.wikipedia.org/wiki/Fort_Wayne%2C_Indiana,49268,city
"Kansas City, Missouri",http://en.wikipedia.org/wiki/Kansas_City%2C_Missouri,41819,city
Harvard College,http://en.wikipedia.org/wiki/Harvard_College,49123,university
United States Naval Academy,http://en.wikipedia.org/wiki/United_States_Naval_Academy,559549,university
Dhaka,http://en.wikipedia.org/wiki/Dhaka,1354,city
"Corpus Christi, Texas",http://en.wikipedia.org/wiki/Corpus_Christi%2C_Texas,49242,city
Kansas,http://en.wikipedia.org/wiki/Kansas,1558,state
"Helena, Montana",http://en.wikipedia.org/wiki/Helena%2C_Montana,38733,city
"Jacksonville, Florida",http://en.wikipedia.org/wiki/Jacksonville%2C_Florida,16568,city
Salt Lake Stadium,http://en.wikipedia.org/wiki/Salt_Lake_Stadium,787124,stadium
Mexico,http://en.wikipedia.org/wiki/Mexico,96,country
Dawson's Creek,http://en.wikipedia.org/wiki/Dawson%27s_Creek,461357,
Monterrey,http://en.wikipedia.org/wiki/Monterrey,81033,city
Dallas/Fort Worth International Airport,http://en.wikipedia.org/wiki/Dallas%2FFort_Worth_International_Airport,459096,aerodrome
Yale University,http://en.wikipedia.org/wiki/Yale_University,49112,university
Kolkata,http://en.wikipedia.org/wiki/Kolkata,1348,city
Mangalore,http://en.wikipedia.org/wiki/Mangalore,127041,city
Colombo,http://en.wikipedia.org/wiki/Colombo,35381,city
Grand Canyon Skywalk,http://en.wikipedia.org/wiki/Grand_Canyon_Skywalk,1542550,bridge
CBGB,http://en.wikipedia.org/wiki/CBGB,1022965,attraction
Mount Rainier,http://en.wikipedia.org/wiki/Mount_Rainier,194057,volcano
Puget Sound,http://en.wikipedia.org/wiki/Puget_Sound,604141,bay
"Fort Worth, Texas",http://en.wikipedia.org/wiki/Fort_Worth%2C_Texas,16558,city
Tiruchirappalli,http://en.wikipedia.org/wiki/Tiruchirappalli,207754,city
Colorado River,http://en.wikipedia.org/wiki/Colorado_River,1265,river
University of Chicago,http://en.wikipedia.org/wiki/University_of_Chicago,131252,university
Mount Whitney,http://en.wikipedia.org/wiki/Mount_Whitney,235539,peak
Northern Territory,http://en.wikipedia.org/wiki/Northern_Territory,3235,state
CN Tower,http://en.wikipedia.org/wiki/CN_Tower,134883,attraction
New Delhi,http://en.wikipedia.org/wiki/New_Delhi,987,city
"Orlando, Florida",http://en.wikipedia.org/wiki/Orlando%2C_Florida,49233,city
"SoHo, Manhattan",http://en.wikipedia.org/wiki/SoHo%2C_Manhattan,461572,neighbourhood
Caesars Palace,http://en.wikipedia.org/wiki/Caesars_Palace,569978,casino
Quad Cities,http://en.wikipedia.org/wiki/Quad_Cities,1660598,region
Hollywood Walk of Fame,http://en.wikipedia.org/wiki/Hollywood_Walk_of_Fame,71719,footway
"Cheyenne, Wyoming",http://en.wikipedia.org/wiki/Cheyenne%2C_Wyoming,39042,city
Pisa,http://en.wikipedia.org/wiki/Pisa,13375,city
South Carolina,http://en.wikipedia.org/wiki/South_Carolina,1456,state
University of Toronto,http://en.wikipedia.org/wiki/University_of_Toronto,180865,university
"Harrisburg, Pennsylvania",http://en.wikipedia.org/wiki/Harrisburg%2C_Pennsylvania,25280,city
Boston,http://en.wikipedia.org/wiki/Boston,100,city
"Hyde Park, London",http://en.wikipedia.org/wiki/Hyde_Park%2C_London,123738,park
Aleutian Islands,http://en.wikipedia.org/wiki/Aleutian_Islands,119285,island
Bryce Canyon National Park,http://en.wikipedia.org/wiki/Bryce_Canyon_National_Park,219562,national_park
San Francisco International Airport,http://en.wikipedia.org/wiki/San_Francisco_International_Airport,8688,aerodrome
Gaza Strip,http://en.wikipedia.org/wiki/Gaza_Strip,39760,region
"Compton, California",http://en.wikipedia.org/wiki/Compton%2C_California,487119,city
Hong Kong,http://en.wikipedia.org/wiki/Hong_Kong,8646,city
"Toledo, Spain",http://en.wikipedia.org/wiki/Toledo%2C_Spain,5836,city
Massachusetts,http://en.wikipedia.org/wiki/Massachusetts,771,state
"Bellevue, Washington",http://en.wikipedia.org/wiki/Bellevue%2C_Washington,214164,city
Cheyenne Mountain nuclear bunker,http://en.wikipedia.org/wiki/Cheyenne_Mountain_nuclear_bunker,1071445,bunker
Nagpur,http://en.wikipedia.org/wiki/Nagpur,1513,city
Long Island,http://en.wikipedia.org/wiki/Long_Island,18438,island
Bhopal,http://en.wikipedia.org/wiki/Bhopal,80989,city
"Huntington Beach, California",http://en.wikipedia.org/wiki/Huntington_Beach%2C_California,5917,city
Grand Canyon,http://en.wikipedia.org/wiki/Grand_Canyon,118841,landform
"Jama Masjid, Delhi",http://en.wikipedia.org/wiki/Jama_Masjid%2C_Delhi,233678,place_of_worship
University of Pennsylvania,http://en.wikipedia.org/wiki/University_of_Pennsylvania,49117,university
Smithsonian Institution,http://en.wikipedia.org/wiki/Smithsonian_Institution,131626,museum
"Austin, Texas",http://en.wikipedia.org/wiki/Austin%2C_Texas,16559,city
Rocky Mountains,http://en.wikipedia.org/wiki/Rocky_Mountains,5463,ridge
Oberlin College,http://en.wikipedia.org/wiki/Oberlin_College,616591,college
Surat,http://en.wikipedia.org/wiki/Surat,4629,city
Bengal,http://en.wikipedia.org/wiki/Bengal,80338,region
"Ann Arbor, Michigan",http://en.wikipedia.org/wiki/Ann_Arbor%2C_Michigan,485172,city
Coimbatore,http://en.wikipedia.org/wiki/Coimbatore,9885,city
College of William & Mary,http://en.wikipedia.org/wiki/College_of_William_%26_Mary,875637,college
Rajasthan,http://en.wikipedia.org/wiki/Rajasthan,1437,state
Montana,http://en.wikipedia.org/wiki/Montana,1212,state
Houston,http://en.wikipedia.org/wiki/Houston,16555,city
Biafra,http://en.wikipedia.org/wiki/Biafra,178469,state
Osaka,http://en.wikipedia.org/wiki/Osaka,35765,city
Australia (continent),http://en.wikipedia.org/wiki/Australia_%28continent%29,3960,continent
"Tulsa, Oklahoma",http://en.wikipedia.org/wiki/Tulsa%2C_Oklahoma,44989,city
Munnar,http://en.wikipedia.org/wiki/Munnar,1025124,town
"Berkeley, California",http://en.wikipedia.org/wiki/Berkeley%2C_California,484678,city
North America,http://en.wikipedia.org/wiki/North_America,49,continent
United States Military Academy,http://en.wikipedia.org/wiki/United_States_Military_Academy,9219,university
Epcot,http://en.wikipedia.org/wiki/Epcot,1052042,theme_park
Ohio River,http://en.wikipedia.org/wiki/Ohio_River,4915,river
University of Miami,http://en.wikipedia.org/wiki/University_of_Miami,738258,university
"Palm Springs, California",http://en.wikipedia.org/wiki/Palm_Springs%2C_California,488004,city
South India,http://en.wikipedia.org/wiki/South_India,542146,region
University of North Carolina at Chapel Hill,http://en.wikipedia.org/wiki/University_of_North_Carolina_at_Chapel_Hill,192334,university
University of British Columbia,http://en.wikipedia.org/wiki/University_of_British_Columbia,391028,university
Taj Mahal,http://en.wikipedia.org/wiki/Taj_Mahal,9141,monument
